               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057927,            0.029217,            0.010881,             0.47275,             0.86948,             0.78699,             0.55905,            0.031319,           0.0080871,          0.00084977,             0.07012,             0.00332,             0.00332
                   1,             0.03772,            0.017948,           0.0022351,             0.76569,             0.99399,             0.99495,             0.70368,            0.024479,           0.0067755,           0.0010721,            0.039988,           0.0065216,           0.0065216
                   2,            0.031901,            0.014794,           0.0021434,             0.99986,                   1,               0.995,             0.91523,            0.013082,           0.0066967,           0.0010358,           0.0097245,           0.0095912,           0.0095912
                   3,            0.024958,            0.012737,           0.0015445,             0.99993,                   1,               0.995,             0.97834,            0.006926,            0.004847,          0.00080405,            0.009406,            0.009406,            0.009406
                   4,            0.020686,            0.011331,           0.0012026,             0.99989,                   1,               0.995,             0.82457,            0.010808,           0.0050207,          0.00056034,            0.009406,            0.009406,            0.009406
                   5,            0.018084,            0.010605,          0.00094139,              0.9997,                   1,               0.995,             0.93715,           0.0080194,           0.0045169,          0.00041842,            0.009208,            0.009208,            0.009208
                   6,            0.015963,           0.0099425,          0.00080294,             0.99991,                   1,               0.995,             0.93817,           0.0089043,           0.0046516,          0.00060049,             0.00901,             0.00901,             0.00901
                   7,            0.014896,           0.0093138,          0.00078412,             0.99993,                   1,               0.995,             0.94845,           0.0062386,            0.004261,          0.00044399,            0.008812,            0.008812,            0.008812
                   8,            0.013928,           0.0088311,          0.00072111,             0.99993,                   1,               0.995,             0.90949,            0.010264,           0.0038129,          0.00025212,            0.008614,            0.008614,            0.008614
                   9,            0.012882,            0.008399,          0.00065124,             0.99993,                   1,               0.995,             0.96287,           0.0041394,            0.002787,          0.00044128,            0.008416,            0.008416,            0.008416
                  10,             0.01216,            0.008185,          0.00059674,             0.99987,                   1,               0.995,             0.99016,           0.0039346,           0.0025101,          0.00053204,            0.008218,            0.008218,            0.008218
                  11,            0.011556,           0.0078845,          0.00058527,             0.99994,                   1,               0.995,             0.95693,           0.0038598,           0.0045719,          0.00034066,             0.00802,             0.00802,             0.00802
                  12,            0.010538,           0.0073454,          0.00054058,             0.99994,                   1,               0.995,             0.96366,           0.0038195,           0.0032811,          0.00032401,            0.007822,            0.007822,            0.007822
                  13,            0.010246,           0.0072651,          0.00047537,             0.99993,                   1,               0.995,              0.9479,           0.0041263,           0.0026598,          0.00026635,            0.007624,            0.007624,            0.007624
                  14,            0.010061,           0.0071724,          0.00047036,             0.99994,                   1,               0.995,             0.94526,           0.0046574,           0.0030196,          0.00019921,            0.007426,            0.007426,            0.007426
                  15,           0.0092485,            0.006861,          0.00043081,             0.99994,                   1,               0.995,             0.99458,           0.0041469,           0.0044589,           0.0003469,            0.007228,            0.007228,            0.007228
                  16,           0.0093351,           0.0067634,          0.00041573,             0.99994,                   1,               0.995,             0.99213,           0.0036168,           0.0043929,          0.00029996,             0.00703,             0.00703,             0.00703
