               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079392,            0.032819,                   0,            0.010928,             0.16667,           0.0072158,           0.0016723,            0.030188,             0.02573,                   0,              0.0955,              0.0005,              0.0005
                   1,            0.075912,            0.032982,                   0,           0.0033333,                0.25,            0.016985,           0.0041056,             0.02272,            0.020182,                   0,            0.090078,           0.0010782,           0.0010782
                   2,             0.05744,            0.031558,                   0,           0.0033333,             0.29167,            0.013082,           0.0063535,            0.019136,            0.017961,                   0,            0.084633,           0.0016327,           0.0016327
                   3,            0.046879,             0.03236,                   0,           0.0040454,             0.41667,            0.039331,            0.011889,            0.024176,              0.0162,                   0,            0.079163,           0.0021634,           0.0021634
                   4,            0.047549,             0.03106,                   0,             0.25545,             0.54167,             0.27197,            0.088993,            0.014048,             0.01433,                   0,             0.07367,           0.0026703,           0.0026703
                   5,            0.043896,             0.02962,                   0,              0.2691,             0.54167,             0.40072,             0.22754,            0.017643,            0.012428,                   0,            0.068154,           0.0031535,           0.0031535
                   6,            0.040291,            0.029349,                   0,             0.46276,             0.58333,             0.49888,             0.32911,            0.012263,            0.011254,                   0,            0.062613,           0.0036129,           0.0036129
                   7,            0.035658,            0.027375,                   0,             0.62333,             0.79167,             0.75802,             0.52268,             0.02035,            0.011063,                   0,            0.057049,           0.0040486,           0.0040486
                   8,            0.032312,            0.027501,                   0,             0.26886,             0.70833,             0.32755,             0.12238,            0.027177,            0.012249,                   0,             0.05146,           0.0044605,           0.0044605
                   9,            0.036289,            0.024671,                   0,             0.49605,             0.70833,             0.63021,             0.34807,            0.017636,           0.0084443,                   0,            0.045849,           0.0048486,           0.0048486
                  10,            0.033788,            0.024379,                   0,              0.4781,                0.75,             0.70459,              0.3863,            0.019466,           0.0079723,                   0,            0.040213,            0.005213,            0.005213
                  11,            0.039868,            0.025416,                   0,             0.69552,               0.625,             0.71809,             0.29828,            0.012295,           0.0078338,                   0,            0.034554,           0.0055536,           0.0055536
                  12,             0.03609,            0.022729,                   0,             0.87183,             0.83333,             0.91369,             0.40105,            0.019264,           0.0065351,                   0,             0.02887,           0.0058705,           0.0058705
                  13,            0.036598,            0.022705,                   0,             0.45784,             0.70833,             0.57396,             0.21652,            0.020143,           0.0084486,                   0,            0.023164,           0.0061636,           0.0061636
                  14,            0.031382,            0.023132,                   0,             0.70255,             0.91667,             0.90723,             0.66153,            0.028736,           0.0067085,                   0,            0.017433,           0.0064329,           0.0064329
                  15,            0.030716,            0.018227,                   0,             0.61097,             0.91613,             0.74849,              0.5186,            0.016256,           0.0056017,                   0,            0.011678,           0.0066785,           0.0066785
                  16,            0.031086,            0.020425,                   0,             0.50193,                0.75,             0.68542,             0.50832,             0.02781,           0.0039856,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.034811,            0.017009,                   0,              0.6003,               0.875,             0.71344,             0.50162,             0.01623,           0.0037428,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030481,            0.018046,                   0,             0.56417,               0.875,              0.7712,             0.48574,            0.021364,           0.0035099,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.026859,            0.017505,                   0,             0.52625,                   1,             0.70146,             0.35147,            0.016854,            0.005281,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.044071,            0.016796,                   0,              0.8367,                   1,             0.92504,             0.52668,            0.017404,           0.0043157,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032564,            0.014596,                   0,              0.5633,             0.96758,             0.63513,             0.22709,             0.02385,           0.0046344,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033821,            0.015721,                   0,              0.9934,                   1,               0.995,             0.86694,            0.014271,            0.004125,                   0,            0.005842,            0.005842,            0.005842
